Email;First Name;Last Name ;Language ID;Shop ID;Shop Group ID;Active
madrid@adanovias.es;Ada Novias Madrid;;4;;;
adriananovias@hotmail.com;Adriana Novias;;4;;;
as@ainhoasalcedo.com;Ainhoa Salcedo Couture;;4;;;
airegandia@yahoo.es;Aires de novia Gandia;;4;;;
info@airesdenovia.com;Aires de novia-Outlet novias & ceremonia;;4;;;
airesdelmediterraneo17@gmail.com;Aires del Mediterráneo;;4;;;
atelier@albaminguella.com;Alba Minguella Costura Autor;;4;;;
alba_novias_toledo@yahoo.es;Alba novias;;4;;;
alejandra.valero@alejandravalero.com;ALEJANDRA VALERO;;4;;;
redessociales@alicianovias.com;Alicia Novias;;4;;;
alicianovias@alicianovias.com;Alicia Novias;;4;;;
info@almadeboda.com;Alma de boda;;4;;;
info@anacorellano.com;Ana Corellano;;4;;;
info@anabinovias.com;Anabi Novias;;4;;;
info@andrejmikulasek.com;Andrej Mikulasek;;4;;;
ventas@antonella.es;Antonella Novias;;4;;;
info@arras.es;Arras Villa Nupcial Vizcaya;;4;;;
info@assumptanuvies.com;ASSUPMPTA NOVIAS;;4;;;
social@ateliernovias.es;Atelier Novias ;;4;;;
info@ateliernovias.es ;Atelier Novias ;;4;;;
info@atelier-rima.com;Atelier Rima;;4;;;
chalonovias@gmail.com;Aurora Chalo Novias;;4;;;
noviasazahar@gmail.com;Azahar Novias;;4;;;
info@azaharnoviasfuenlabrada.es;Azahar Novias Fuenlabrada;;4;;;
azaharnovia@gmail.com;Azahar Novias Ronda;;4;;;
info@balartnuvies.com;Balart Nuvies;;4;;;
info@barcelonaespaiboda.com;BARCELONA ESPAI BODA;;4;;;
taller@beatrizalvaro.com;BEATRIZ ÁLVARO;;4;;;
info@beatrizdelacamara.com;BEATRIZ DE LA CÁMARA;;4;;;
veronica@beautifulbride.cat;Beautiful Bride;;4;;;
belenboheme@gmail.com;BelénBoheme;;4;;;
bellabiancaatelier@gmail.com;Bella Bianca;;4;;;
blancanovias@blancanovias.com;Blanca Novias;;4;;;
blancanarybodas@gmail.com;BlanCanary;;4;;;
info@blancodenovia.com;Blanco de Novias;;4;;;
blancosaten.aranda@gmail.com;Blanco Satén;;4;;;
info@boda10.es;Boda 10 Alquiler Vestidos ;;4;;;
info@pattuka.com;Bodagrafic & Pattuka;;4;;;
info@bodasalogrande.com;Bodas a lo Grande;;4;;;
comercial@aiterik.com;BODAS y Eventos Aiterik;;4;;;
salamabysylvia@gmail.com;Boho Californiana Bikinis;;4;;;
info@bombomstyle.es;Bombom;;4;;;
info@booknovias.com;Booknovias;;4;;;
anatotana20@hotmail.com;Boutique Ana;;4;;;
elena@boutiquechampan.com;Boutique Champan Novias;;4;;;
info@boutiquelanovia.com;Boutique La Novia;;4;;;
boutiquelibra@yahoo.es;Boutique Libra ;;4;;;
lp@lorenapanea.com;Boutique Lorena Paena ;;4;;;
mariaguiles@hotmail.es;Boutique María Güiles;;4;;;
hello@onehoneyboutique.com;Boutique The One;;4;;;
zaraisoria@gmail.com;Boutique Zais;;4;;;
brancucciboutiquehotmail.com;Bracucci;;4;;;
leticia@bridessecret.es;BrideSSecret;;4;;;
info@bybiombo.com;by Biombo;;4;;;
direccion@cadenet.es;Cadenet Novias;;4;;;
info@camilasroom.es;Camila's Room;;4;;;
info@cancan-novias.com;CanCan Novias;;4;;;
info@caprichodenovia.es;Capricho de Novia;;4;;;
sorcaballero@hotmail.com;Carmen Caballero ;;4;;;
casajuana@noviascasajuana.com;Casajuana;;4;;;
saraomatos@hotmail.com;Cásate Conmigo;;4;;;
noviascaterina@gmail.com;Caterina Novias;;4;;;
centronovias@gmail.com;Centro Novias Albolote;;4;;;
centronovias@gmail.com;Centro Novias Albolote;;4;;;
amy@chicvintagebrides.com;Chic Vintage Brides;;4;;;
alcala@adanovias.es;Clara Novias Alcalá de Henares;;4;;;
info@classeinnata.com;Clase Innata;;4;;;
clivianovias@gmail.com;Clivia Novias;;4;;;
codennicomplements@gmail.com;Codenni;;4;;;
corredera@correderanuvies.com;Corredera Núvies;;4;;;
noviasdesiree@yahoo.es;Désirée Novias;;4;;;
info@despiertacenicienta.es;Despierta Cenicienta;;4;;;
info@diamantenovias.es;Diamante Novias;;4;;;
diegorecamales@hotmail.com;Diego Recamales;;4;;;
gestion@dinovias.es;Dinovias;;4;;;
divanovias@gmail.com;Diva Novias;;4;;;
doriani@doriani.com;Doriani;;4;;;
info@dreamday.es;Dream Day;;4;;;
